GEO_ID,NAME,Median_12month_HH_Income,B19013_001MarginOfError
1400000US06001435500,"Census Tract 4355, Alameda County, California",57000,9271
1400000US06053013700,"Census Tract 137, Monterey County, California",42635,11060
1400000US06111003900,"Census Tract 39, Ventura County, California",56339,5264
1400000US06001406700,"Census Tract 4067, Alameda County, California",96915,13922
1400000US06065042741,"Census Tract 427.41, Riverside County, California",29087,3233
1400000US06021010400,"Census Tract 104, Glenn County, California",45242,10241
1400000US06081602600,"Census Tract 6026, San Mateo County, California",120236,11321
1400000US06111007506,"Census Tract 75.06, Ventura County, California",133242,20365
1400000US06095252306,"Census Tract 2523.06, Solano County, California",86215,13605
1400000US06077003109,"Census Tract 31.09, San Joaquin County, California",67000,8703
1400000US06067007208,"Census Tract 72.08, Sacramento County, California",64627,6941
1400000US06037433503,"Census Tract 4335.03, Los Angeles County, California",48378,7408
1400000US06037901008,"Census Tract 9010.08, Los Angeles County, California",61103,12266
1400000US06097153401,"Census Tract 1534.01, Sonoma County, California",78213,11708
1400000US06013325000,"Census Tract 3250, Contra Costa County, California",104880,17955
1400000US06099003803,"Census Tract 38.03, Stanislaus County, California",44738,9681
1400000US06019005702,"Census Tract 57.02, Fresno County, California",71708,12415
1400000US06037128220,"Census Tract 1282.20, Los Angeles County, California",38910,6658
1400000US06013313206,"Census Tract 3132.06, Contra Costa County, California",61824,7203
1400000US06037543502,"Census Tract 5435.02, Los Angeles County, California",63582,12071
1400000US06075025100,"Census Tract 251, San Francisco County, California",153021,36627
1400000US06071002607,"Census Tract 26.07, San Bernardino County, California",92893,12657
1400000US06059075901,"Census Tract 759.01, Orange County, California",65944,11469
1400000US06065049800,"Census Tract 498, Riverside County, California",60714,11122
1400000US06037541605,"Census Tract 5416.05, Los Angeles County, California",52037,3303
1400000US06107003400,"Census Tract 34, Tulare County, California",42532,11023
1400000US06019006202,"Census Tract 62.02, Fresno County, California",44587,6084
1400000US06099003002,"Census Tract 30.02, Stanislaus County, California",51285,6217
1400000US06073008511,"Census Tract 85.11, San Diego County, California",81431,5564
1400000US06037552700,"Census Tract 5527, Los Angeles County, California",71119,7147
1400000US06085510801,"Census Tract 5108.01, Santa Clara County, California",160645,22320
1400000US06073008345,"Census Tract 83.45, San Diego County, California",81250,11329
1400000US06037601501,"Census Tract 6015.01, Los Angeles County, California",36515,6919
